# ID RA Dec
376.D    14:55:35.61 -08:26:31.70
376.E    15:08:10.74 -11:32:31.70
376.F    15:08:10.74 -08:26:31.70
531.A    15:09:58.17 +10:12:00.00
531.B    15:09:58.17 +13:18:00.00
531.C    15:22:38.09 +10:12:00.00
531.D    15:22:38.09 +13:18:00.00
531.E    15:35:18.02 +10:12:00.00
531.F    15:35:18.02 +13:18:00.00
544.A    21:14:44.39 +09:42:00.00
544.B    21:14:44.39 +13:18:00.00
544.C    21:27:24.31 +09:42:00.00
544.D    21:27:24.31 +12:48:00.00
544.E    21:40:04.23 +09:42:00.00
544.F    21:40:04.23 +12:48:00.00
440.A    20:43:48.76 -04:12:00.00
440.B    20:43:48.76 -00:29:16.96
440.C    20:56:13.55 -04:12:00.00
440.D    20:59:01.55 -00:54:00.00
440.E    21:08:38.35 -04:12:00.00
440.F    21:11:26.35 -00:54:00.00
494.A    21:44:40.77 +03:25:10.61
494.B    21:52:52.77 +06:31:10.61
494.C    22:03:07.12 +03:01:10.61
494.D    22:05:19.12 +06:07:10.61
494.E    22:16:45.12 +00:16:58.80
494.F    22:17:45.47 +06:07:10.61
550.A    23:59:44.75 +17:24:00.00
550.B    23:59:44.75 +20:30:00.00
550.C    00:12:51.38 +17:24:00.00
550.D    00:12:51.38 +21:00:00.00
550.E    00:25:58.02 +17:24:00.00
550.F    00:25:58.02 +20:30:00.00
600.A    23:49:44.37 +24:36:00.00
600.B    23:56:56.37 +27:42:00.00
600.C    00:04:45.20 +24:00:00.00
600.D    00:10:45.20 +27:42:00.00
600.E    00:24:34.04 +24:36:00.00
600.F    00:24:34.04 +27:42:00.00
401.A    02:23:28.63 -04:09:00.00
401.B    02:25:11.83 -01:03:00.00
401.C    02:35:53.43 -04:09:00.00
401.D    02:40:48.63 -00:45:00.00
401.E    02:48:18.23 -04:09:00.00
401.F    03:02:01.43 -01:03:00.00
691.A    22:21:28.19 +31:48:00.00
691.B    22:21:28.19 +34:54:00.00
691.C    22:36:18.85 +31:48:00.00
691.D    22:36:18.85 +35:45:06.12
691.E    22:51:09.52 +31:48:00.00
691.F    22:51:09.52 +34:54:00.00
